Layer,Color,Linetype,Elevation,LineWt,RefName,Angle,X_Cordinat,Y_Cordinat,Ulb_Name
Manhole,254,Continuous,14.5146923753,18,PMH,5.1320937329,404712.6867,1430038.6444,Tambaram
Streetlight,254,Continuous,15.6453468703,25,PEP,359.803654299,404859.8954,1430029.9101,Tambaram
Manhole,254,Continuous,15.6713389277,18,PMH,5.1320937329,404869.258,1429994.6728,Tambaram
Manhole,254,Continuous,15.9772454489,18,PMH,5.1320937332,404847.7453,1429736.6276,Tambaram
Streetlight,254,Continuous,15.8442860786,25,PEP,359.803654299,404853.1119,1429718.3842,Tambaram
Streetlight,254,Continuous,19.5641493642,25,PLP,359.803654299,405096.8778,1429992.362,Tambaram
Streetlight,254,Continuous,19.9810219764,25,PLP,359.803654299,405116.314,1430012.0196,Tambaram
Streetlight,254,Continuous,19.297230929,25,PEP,359.803654299,405134.3189,1430007.1612,Tambaram
Streetlight,254,Continuous,19.5781450873,25,PEP,359.803654299,405156.7194,1430030.1466,Tambaram
Streetlight,254,Continuous,19.0912938592,25,PEP,359.803654299,405141.1763,1430015.1101,Tambaram
Manhole,254,Continuous,16.5550688778,18,PMH,5.1320937329,404910.0693,1430011.6577,Tambaram
Manhole,254,Continuous,17.3468269327,18,PMH,5.1320937329,405005.6791,1429993.7538,Tambaram
Streetlight,254,Continuous,17.1658822257,25,PEP,359.803654512,404997.3293,1429995.2131,Tambaram
TAP,254,Continuous,16.2591593018,25,PWT,359.803654512,404915.8828,1430001.729,Tambaram
Manhole,254,Continuous,16.6490401621,18,PMH,5.1320937329,404946.7309,1430000.8583,Tambaram
Manhole,254,Continuous,16.6290462719,18,PMH,5.1320937329,404928.7592,1430003.3168,Tambaram
Manhole,254,Continuous,16.4531000374,18,PMH,5.1320937329,404920.7709,1430037.5458,Tambaram
TAP,254,Continuous,14.7996053117,25,PWT,359.803654512,404473.0637,1429672.1646,Tambaram
Manhole,254,Continuous,14.2887614152,18,PMH,5.1320937329,404370.9603,1429870.6948,Tambaram
Manhole,254,Continuous,14.4017268953,18,PMH,5.1320937329,404339.6683,1429880.9966,Tambaram
TAP,254,Continuous,14.562677712,25,PWT,359.803654512,404330.5084,1429885.4795,Tambaram
Manhole,254,Continuous,14.4817024564,18,PMH,5.1320937329,404309.2265,1429887.8498,Tambaram
Manhole,254,Continuous,14.4607088716,18,PMH,5.1320937329,404322.4408,1429839.8274,Tambaram
TAP,254,Continuous,15.4963923878,25,PWT,359.803654512,404233.2122,1429781.1764,Tambaram
Manhole,254,Continuous,14.9735521571,18,PMH,5.1320937329,404378.2414,1429736.1952,Tambaram
Manhole,254,Continuous,15.6753377058,18,PMH,5.1320937329,404289.4459,1429761.7236,Tambaram
Manhole,254,Continuous,15.621354202,18,PMH,5.1320937329,404240.5073,1429776.1259,Tambaram
Manhole,254,Continuous,15.1295045013,18,PMH,5.1320937329,404329.1307,1429770.3191,Tambaram
Manhole,254,Continuous,14.4847015399,18,PMH,5.1320937329,404441.4191,1429759.1843,Tambaram
TAP,254,Continuous,14.6826410536,25,PWT,359.803654512,404518.6287,1429695.9097,Tambaram
TAP,254,Continuous,14.6846404427,25,PWT,359.803654512,404451.6956,1429717.5117,Tambaram
